cve_id,cvss,severity_label,epss,affected_system,description,criticality,business_impact,dependency_score,downtime_cost,effort,regulatory,customer_impact,maintenance_window,rollback_risk,downtime_sensitivity,cascade_risk,Expected Loss,Priority Score,Recommended Action,Recommended Patch Window,Explanation,risk_score,criticality_multiplier,regulatory_multiplier,customer_multiplier,rollback_multiplier,downtime_sensitivity_multiplier,business_score,dependency_factor,disruption_cost,priority_score,expected_loss,recommended_action,recommended_patch_window,explanation,score_delta
CVE-2024-3400,10.0,Critical,1.0,Payment API,OS Command injection in firewalls protecting the payment zone.,High,100,5,90,2,PCI,High,Sun 2-4 AM,Medium,High,0.0,940.0,51.09,Patch immediately,Emergency change window,"CVE-2024-3400 is prioritized for Payment API because it has CVSS 10.0, EPSS 0.94, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately.",2.0,1.6,1.1,1.3,1.1,1.25,0.0022880000000000005,5.0,2.012375,0.8656942795135337,1000.0,Patch immediately,Emergency/24h window,"CVE-2024-3400 is prioritized for Payment API because it combines CVSS 10.0, exploit probability 1.00, High system criticality, and dependency factor 5.00. Recommended action: Patch immediately.",0.025970828385406097
CVE-2024-24919,8.6,High,0.88,Login Service,Information disclosure allowing unauthenticated read of system files.,High,77,4,71,1,GDPR,High,Sat 1-3 AM,Low,High,0.0,582.74,32.37,Patch immediately,Emergency change window,"CVE-2024-24919 is prioritized for Login Service because it has CVSS 8.6, EPSS 0.88, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately.",1.6167999999999998,1.6,1.1,1.3,1.0,1.25,0.0017617600000000002,4.0,1.008875,0.8610665473780669,497.97,Patch immediately,Emergency/24h window,"CVE-2024-24919 is prioritized for Login Service because it combines CVSS 8.6, exploit probability 0.88, High system criticality, and dependency factor 4.00. Recommended action: Patch immediately.",0.0
CVE-2024-1709,10.0,Critical,0.98,Login Service,Auth bypass allows creating admin accounts. Critical for Login service.,High,81,4,75,2,GDPR,High,Sat 1-3 AM,Low,High,0.0,793.8,41.24,Patch immediately,Emergency change window,"CVE-2024-1709 is prioritized for Login Service because it has CVSS 10.0, EPSS 0.98, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately.",1.98,1.6,1.1,1.3,1.0,1.25,0.0018532800000000003,4.0,2.009375,0.5557638946242038,641.52,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-1709 is prioritized for Login Service because it combines CVSS 10.0, exploit probability 0.98, High system criticality, and dependency factor 4.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2023-44487,7.5,High,0.65,Payment API,"""Rapid Reset"" DDoS; can cripple the Payment API's availability.",High,102,5,85,2,PCI,High,Sun 2-4 AM,Medium,High,0.0,497.25,28.58,Patch in next maintenance window,Sun 2-4 AM,"CVE-2023-44487 is prioritized for Payment API because it has CVSS 7.5, EPSS 0.65, affects a high-criticality system, carries medium cascade risk, has PCI implications, and maps to a patch in next maintenance window.",1.2374999999999998,1.6,1.1,1.3,1.1,1.25,0.0023337600000000003,5.0,2.0116875,0.5464522667891761,631.12,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2023-44487 is prioritized for Payment API because it combines CVSS 7.5, exploit probability 0.65, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-4577,9.8,Critical,0.95,Payment API,RCE on PHP; widely exploited in the wild. High risk for public APIs.,High,97,5,95,3,PCI,High,Sun 2-4 AM,Medium,High,0.0,903.07,46.08,Patch immediately,Emergency change window,"CVE-2024-4577 is prioritized for Payment API because it has CVSS 9.8, EPSS 0.95, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately.",1.911,1.6,1.1,1.3,1.1,1.25,0.0022193600000000005,5.0,3.0130625,0.5353791522685656,926.83,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-4577 is prioritized for Payment API because it combines CVSS 9.8, exploit probability 0.95, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-20419,9.9,Critical,0.92,Login Service,Static password bypass; allows any user password to be reset.,High,77,4,69,2,GDPR,High,Sat 1-3 AM,Low,High,0.0,701.32,39.51,Patch immediately,Emergency change window,"CVE-2024-20419 is prioritized for Login Service because it has CVSS 9.9, EPSS 0.92, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately.",1.9007999999999998,1.6,1.1,1.3,1.0,1.25,0.0017617600000000002,4.0,2.008625,0.5072782006747723,585.45,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-20419 is prioritized for Login Service because it combines CVSS 9.9, exploit probability 0.92, High system criticality, and dependency factor 4.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-21887,9.1,Critical,0.89,Payment API,High-exploit command injection in web-facing management interfaces.,High,97,5,89,3,PCI,High,Sun 2-4 AM,Medium,High,0.0,785.6,42.7,Patch immediately,Emergency change window,"CVE-2024-21887 is prioritized for Payment API because it has CVSS 9.1, EPSS 0.89, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately.",1.7199,1.6,1.1,1.3,1.1,1.25,0.0022193600000000005,5.0,3.0122375,0.4819054699987158,834.15,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-21887 is prioritized for Payment API because it combines CVSS 9.1, exploit probability 0.89, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-38077,9.8,Critical,0.92,Login Service,Critical RCE in Windows components often used in enterprise auth.,High,81,4,71,3,GDPR,High,Sat 1-3 AM,Low,High,0.0,730.3,39.48,Patch immediately,Emergency change window,"CVE-2024-38077 is prioritized for Login Service because it has CVSS 9.8, EPSS 0.92, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately.",1.8816000000000002,1.6,1.1,1.3,1.0,1.25,0.0018532800000000003,4.0,3.008875,0.35239136994007914,609.64,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-38077 is prioritized for Login Service because it combines CVSS 9.8, exploit probability 0.92, High system criticality, and dependency factor 4.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-8963,9.6,Critical,0.88,Database,Path traversal/RCE in DB admin tools; leads to full data compromise.,High,90,5,85,4,PCI,High,Sun 1-3 AM,High,High,0.0,760.32,42.71,Patch immediately,Emergency change window,"CVE-2024-8963 is prioritized for Database because it has CVSS 9.6, EPSS 0.88, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately.",1.8047999999999997,1.6,1.1,1.3,1.25,1.25,0.0020592,5.0,4.01328125,0.3520299128673957,812.16,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-8963 is prioritized for Database because it combines CVSS 9.6, exploit probability 0.88, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-1597,9.8,Critical,0.35,Database,SQL injection in widely used Java DB driver for PostgreSQL.,High,90,5,83,3,PCI,High,Sun 1-3 AM,High,High,0.0,308.7,17.95,Prioritize for scheduled patching,Next 7 days,"CVE-2024-1597 is prioritized for Database because it has CVSS 9.8, EPSS 0.35, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a prioritize for scheduled patching.",1.3230000000000002,1.6,1.1,1.3,1.25,1.25,0.0020592,5.0,3.01296875,0.3439045851237952,595.35,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-1597 is prioritized for Database because it combines CVSS 9.8, exploit probability 0.35, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
